"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"10439299"	"0.00000151"	"4.25e-11"	"37.181072"	"13.749817"	"6.05903"	"Stfa3"	"stefin A3"
"10395389"	"0.00000384"	"2.26e-10"	"30.790807"	"12.900467"	"4.6042325"	"Sostdc1"	"sclerostin domain containing 1"
"10497886"	"0.00000384"	"3.24e-10"	"29.563429"	"12.694977"	"4.9309425"	"Il21"	"interleukin 21"
"10345752"	"0.00000511"	"6.71e-10"	"27.226413"	"12.255012"	"5.231785"	"Il1r2"	"interleukin 1 receptor, type II"
"10472235"	"0.00000511"	"7.19e-10"	"-27.016673"	"12.212067"	"-5.549725"	"Dapl1"	"death associated protein-like 1"
"10359697"	"0.00000905"	"1.85e-09"	"24.264398"	"11.587276"	"3.1830825"	"Xcl1"	"chemokine (C motif) ligand 1"
"10513729"	"0.00000905"	"1.88e-09"	"24.224483"	"11.577303"	"2.7471875"	"Tnfsf8"	"tumor necrosis factor (ligand) superfamily, member 8"
"10603151"	"0.00000905"	"2.24e-09"	"23.748885"	"11.456259"	"2.721125"	"Gpm6b"	"glycoprotein m6b"
"10531415"	"0.00000905"	"2.29e-09"	"23.687308"	"11.440284"	"4.767445"	"Cxcl10"	"chemokine (C-X-C motif) ligand 10"
"10403069"	"0.00001165"	"3.28e-09"	"22.743486"	"11.186361"	"3.74755"	"Igh-VJ558///Ighm///Igh-VJ558///Ighm"	"immunoglobulin heavy chain (J558 family)///immunoglobulin heavy constant mu///immunoglobulin heavy chain (J558 family)///immunoglobulin heavy constant mu"
"10439790"	"0.00001183"	"3.89e-09"	"-22.304111"	"11.062083"	"-4.5003275"	"Trat1"	"T cell receptor associated transmembrane adaptor 1"
"10458589"	"0.00001183"	"3.99e-09"	"22.236356"	"11.04256"	"3.1750575"	"Prelid2"	"PRELI domain containing 2"
"10365933"	"0.00001237"	"4.52e-09"	"21.92466"	"10.951482"	"5.3515075"	"Eea1"	"early endosome antigen 1"
"10595371"	"0.00001349"	"5.31e-09"	"21.525291"	"10.831672"	"3.386095"	"Hmgn3"	"high mobility group nucleosomal binding domain 3"
"10523182"	"0.00002135"	"9.01e-09"	"20.266757"	"10.429785"	"4.507105"	"Areg"	"amphiregulin"
"10582997"	"0.00002337"	"1.05e-08"	"19.911322"	"10.309154"	"4.617175"	"Casp4"	"caspase 4, apoptosis-related cysteine peptidase"
"10511363"	"0.00003282"	"1.57e-08"	"19.020253"	"9.991772"	"3.7083225"	"Penk"	"preproenkephalin"
"10461369"	"0.00004433"	"2.24e-08"	"18.255748"	"9.701245"	"2.09322"	"Ahnak"	"AHNAK nucleoprotein (desmoyokin)"
"10608681"	"0.00005046"	"2.81e-08"	"17.792318"	"9.516337"	"2.657605"	""	""
"10396421"	"0.00005046"	"2.86e-08"	"17.75386"	"9.500681"	"2.244565"	"Hif1a"	"hypoxia inducible factor 1, alpha subunit"
"10587792"	"0.00005046"	"2.98e-08"	"17.670575"	"9.466609"	"2.769085"	"Plscr1"	"phospholipid scramblase 1"
"10355312"	"0.00005091"	"3.15e-08"	"17.558731"	"9.420491"	"2.5405775"	"Ikzf2"	"IKAROS family zinc finger 2"
"10356866"	"0.00008692"	"5.62e-08"	"16.425102"	"8.928493"	"2.70795"	"Pdcd1"	"programmed cell death 1"
"10345807"	"0.00009514"	"6.54e-08"	"16.142349"	"8.798422"	"2.2054675"	"Il18r1"	"interleukin 18 receptor 1"
"10350733"	"0.00009514"	"6.69e-08"	"16.099068"	"8.778238"	"2.6998675"	"Rgs16"	"regulator of G-protein signaling 16"
"10388042"	"0.00010537"	"8.29e-08"	"15.705348"	"8.59122"	"3.48775"	"6330403K07Rik"	"RIKEN cDNA 6330403K07 gene"
"10603567"	"0.00010537"	"8.43e-08"	"15.675041"	"8.576564"	"1.905005"	"Dynlt3"	"dynein light chain Tctex-type 3"
"10439895"	"0.00010537"	"8.46e-08"	"15.667419"	"8.572872"	"2.911155"	"Alcam"	"activated leukocyte cell adhesion molecule"
"10421517"	"0.00010537"	"8.61e-08"	"15.636434"	"8.55784"	"4.0820725"	"Cysltr2"	"cysteinyl leukotriene receptor 2"
"10482448"	"0.00010537"	"8.89e-08"	"15.578147"	"8.529454"	"2.152455"	"Zeb2"	"zinc finger E-box binding homeobox 2"
"10360382"	"0.00011278"	"9.83e-08"	"15.397293"	"8.440477"	"4.321695"	"Mnda///Ifi204"	"myeloid cell nuclear differentiation antigen///interferon activated gene 204"
"10352178"	"0.00011716"	"1.05e-07"	"15.273182"	"8.378616"	"4.0038425"	"Sccpdh"	"saccharopine dehydrogenase (putative)"
"10403018"	"0.00011805"	"1.11e-07"	"15.181175"	"8.332329"	"3.26185"	"Ighg3///Igha///Igh-VJ558///LOC105243590///Ighv1-33///Ighv1-26///Igha///Igh-VJ558"	"Immunoglobulin heavy constant gamma 3///immunoglobulin heavy constant alpha///immunoglobulin heavy chain (J558 family)///Ig heavy chain Mem5-like///immunoglobulin heavy variable 1-33///immunoglobulin heavy variable 1-26///immunoglobulin heavy constant alpha///immunoglobulin heavy chain (J558 family)"
"10454015"	"0.00011805"	"1.15e-07"	"15.120696"	"8.301704"	"2.587555"	"Ttc39c"	"tetratricopeptide repeat domain 39C"
"10582985"	"0.00011805"	"1.19e-07"	"15.064727"	"8.273219"	"4.61784"	"Casp1"	"caspase 1"
"10523595"	"0.00011805"	"1.22e-07"	"15.016778"	"8.248707"	"2.36438"	"Ptpn13"	"protein tyrosine phosphatase, non-receptor type 13"
"10590381"	"0.00011805"	"1.23e-07"	"-15.005003"	"8.242672"	"-1.941205"	"Vipr1"	"vasoactive intestinal peptide receptor 1"
"10349603"	"0.0001278"	"1.40e-07"	"14.784224"	"8.128367"	"1.94781"	"Il10"	"interleukin 10"
"10397359"	"0.0001278"	"1.40e-07"	"14.776788"	"8.124478"	"2.58247"	"Batf"	"basic leucine zipper transcription factor, ATF-like"
"10359201"	"0.00013182"	"1.48e-07"	"-14.680557"	"8.073933"	"-1.7116275"	"Ralgps2"	"Ral GEF with PH domain and SH3 binding motif 2"
"10407281"	"0.00014458"	"1.70e-07"	"14.446433"	"7.949171"	"3.0966075"	"Esm1"	"endothelial cell-specific molecule 1"
"10590242"	"0.00014458"	"1.71e-07"	"14.441445"	"7.946485"	"2.3382575"	"Ccr8"	"chemokine (C-C motif) receptor 8"
"10351197"	"0.00014954"	"1.84e-07"	"-14.316096"	"7.878597"	"-3.4219025"	"Sell"	"selectin, lymphocyte"
"10556528"	"0.00014954"	"1.85e-07"	"-14.307089"	"7.873689"	"-2.1308225"	"Pde3b"	"phosphodiesterase 3B, cGMP-inhibited"
"10468309"	"0.00015165"	"1.95e-07"	"-14.218174"	"7.825038"	"-3.6308925"	"Sh3pxd2a"	"SH3 and PX domains 2A"
"10500360"	"0.00015165"	"1.96e-07"	"-14.210046"	"7.820572"	"-2.7837375"	"Gm15441"	"predicted gene 15441"
"10503334"	"0.00015676"	"2.07e-07"	"14.119847"	"7.77079"	"3.604815"	"Gem"	"GTP binding protein (gene overexpressed in skeletal muscle)"
"10367945"	"0.00016054"	"2.17e-07"	"14.046107"	"7.729795"	"2.233975"	"Phactr2"	"phosphatase and actin regulator 2"
"10485405"	"0.00017379"	"2.39e-07"	"13.883372"	"7.638368"	"2.47702"	"Cd44"	"CD44 antigen"
"10488449"	"0.00019187"	"2.70e-07"	"-13.691442"	"7.528815"	"-2.4259475"	""	""
"10359339"	"0.00020385"	"2.93e-07"	"13.561985"	"7.453849"	"2.2119925"	"Rabgap1l"	"RAB GTPase activating protein 1-like"
"10511939"	"0.00020385"	"3.00e-07"	"-13.522833"	"7.431004"	"-2.5073025"	"Spaca1"	"sperm acrosome associated 1"
"10346799"	"0.00020385"	"3.04e-07"	"13.502566"	"7.419146"	"2.573365"	"Icos"	"inducible T cell co-stimulator"
"10390328"	"0.00020586"	"3.13e-07"	"13.457556"	"7.392735"	"1.7241025"	"Tbx21"	"T-box 21"
"10482772"	"0.0002123"	"3.28e-07"	"13.380362"	"7.347186"	"3.583025"	"Nr4a2"	"nuclear receptor subfamily 4, group A, member 2"
"10482484"	"0.00021917"	"3.49e-07"	"-13.284224"	"7.290012"	"-1.9268525"	""	""
"10530503"	"0.00021917"	"3.51e-07"	"-13.274939"	"7.284464"	"-2.627275"	"Cnga1"	"cyclic nucleotide gated channel alpha 1"
"10589535"	"0.00022511"	"3.67e-07"	"13.206441"	"7.243387"	"3.4179175"	"Ngp"	"neutrophilic granule protein"
"10514658"	"0.00022824"	"3.79e-07"	"13.158681"	"7.214594"	"2.1405925"	""	""
"10530100"	"0.00023236"	"3.92e-07"	"13.105246"	"7.18223"	"1.52317"	"Arap2"	"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2"
"10576639"	"0.00024119"	"4.14e-07"	"13.022726"	"7.131939"	"2.7245575"	"Nrp1"	"neuropilin 1"
"10395394"	"0.00024338"	"4.24e-07"	"12.984118"	"7.108278"	"3.123725"	"Ispd"	"isoprenoid synthase domain containing"
"10540472"	"0.00024561"	"4.35e-07"	"12.945878"	"7.08476"	"4.4654"	"Bhlhe40"	"basic helix-loop-helix family, member e40"
"10586700"	"0.00026689"	"4.80e-07"	"12.796262"	"6.991946"	"2.1718975"	"Rora"	"RAR-related orphan receptor alpha"
"10462973"	"0.00026689"	"4.88e-07"	"12.773149"	"6.977493"	"1.962415"	"Hells"	"helicase, lymphoid specific"
"10343022"	"0.00028062"	"5.21e-07"	"-12.675218"	"6.915911"	"-3.0909925"	""	""
"10366346"	"0.00028336"	"5.35e-07"	"12.635652"	"6.890872"	"1.770535"	"Phlda1"	"pleckstrin homology like domain, family A, member 1"
"10483178"	"0.00028336"	"5.47e-07"	"12.601271"	"6.869039"	"1.61836"	"Cobll1"	"Cobl-like 1"
"10429564"	"0.00028336"	"5.50e-07"	"12.594636"	"6.864818"	"1.5090375"	"Ly6a"	"lymphocyte antigen 6 complex, locus A"
"10441530"	"0.00028857"	"5.68e-07"	"12.546406"	"6.834053"	"2.1307425"	"Sytl3"	"synaptotagmin-like 3"
"10362811"	"0.00029316"	"5.99e-07"	"-12.469218"	"6.784529"	"-2.12324"	"Sesn1"	"sestrin 1"
"10434869"	"0.00029316"	"6.08e-07"	"12.445939"	"6.769523"	"1.99992"	"Ccdc50"	"coiled-coil domain containing 50"
